frame_id,total_time_elapsed,dt,x,y,z,yaw,qx,qy,qz,qw,vx,vy,speed,omega
odom,0.000000,0.000000,-0.006929379321786836,0.0014543049116781692,3.1719703911455314e-41,-0.5406230163619495,0.0,0.0,-0.2670316462613237,0.9636877605816976,0.051279614085998446,0.00418787295310923,0.05145033625429783,0.010123171390915097
odom,0.299966,0.299966,0.025306238819346766,-0.018403133593088233,-9.041399634552044e-42,-0.5411492235576132,0.0,0.0,-0.267285186732961,0.9636174702407206,0.253143485067795,0.0006054692755262408,0.2531442091482887,0.0018312010711137047
odom,0.365085,0.065119,0.08622838574253212,-0.003409685728354398,-3.321346754238099e-40,-0.5418578535644389,0.0,0.0,-0.2676265940757007,0.9635227066050078,0.21196092041969908,0.00013952407995615528,0.21196096634082157,-0.007166521193681407
odom,0.465127,0.100041,0.1142893754941374,-0.014485878050832025,3.151495564817497e-40,-0.5465984746362812,0.0,0.0,-0.2699096881476476,0.9628856423501388,0.3077661507748054,0.003315198352456674,0.30778400559947294,-0.02796447885775905
odom,0.565359,0.100233,0.14287648256315957,-0.03324886597539543,1.8735942092398035e-41,-0.5566868688666503,0.0,0.0,-0.27476321875668797,0.9615119206845355,0.3461376520010889,-0.012358596807232284,0.3463582091532849,-0.0844170050360744
odom,0.668187,0.102828,0.17794361184281549,-0.05440187580134864,-2.9732813986609776e-42,-0.5742491719193161,0.0,0.0,-0.28319569888145707,0.9590621440423155,0.4132853472690228,0.005164076425546069,0.41331760905217385,-0.13966122065831177
odom,0.768189,0.100002,0.2163085023433751,-0.07937441988641918,-1.507599810753469e-41,-0.5993310226454099,0.0,0.0,-0.2952006408968834,0.9554352838440023,0.46080924696172,0.005904083975829249,0.4608470682265659,-0.2070359393389401
odom,0.833191,0.065002,0.2413662064294578,-0.09631544433789094,1.154182725744705e-40,-0.6187172239542007,0.0,0.0,-0.3044477583924983,0.9525290349431785,0.46275493587046246,0.010011714676033082,0.4628632250495065,-0.2572195901098481
odom,0.933192,0.100001,0.276374679793993,-0.12248184556504346,8.126952028931972e-41,-0.6505530106789581,0.0,0.0,-0.319570804133068,0.9475623996052948,0.44183893005377,0.007009764713214198,0.4418945314352678,-0.28610866721460665
odom,1.000106,0.066914,0.30166882533883843,-0.14151985817032472,-3.176415952153241e-41,-0.6718911512143757,0.0,0.0,-0.32966203411437184,0.944099011366697,0.4549203904527207,0.012988535865859371,0.45510577200645846,-0.29479605178080137
