frame_id,total_time_elapsed,dt,x,y,z,yaw,qx,qy,qz,qw,vx,vy,speed,omega
map,0.000000,0.000000,0.4388940388972496,-0.5761060557489537,0.0,-1.497047767469362,0.0,0.0,-0.6805579599572973,0.7326942494238382,0.05576536331083625,0.0012486890866325274,0.0557793417819235,-0.011067563693565463
map,0.300054,0.300054,0.442061435509207,-0.6076163333371966,0.0,-1.4987373920869704,0.0,0.0,-0.6811767061444107,0.7321190442860035,0.20498741889523564,-0.0014817673332358158,0.20499277435987995,-0.007870699679973175
map,0.432263,0.132209,0.44529435766574454,-0.6380871793734396,0.0,-1.4985395843752594,0.0,0.0,-0.6811042934164776,0.7321864117078661,0.25923797320014763,0.011106927957140397,0.2594757996375877,-0.0006616672129566556
map,0.535095,0.102832,0.45457559189481755,-0.6793980750509245,0.0,-1.5008046160315271,0.0,0.0,-0.6819330691501777,0.7314145809316485,0.32833352972778185,-0.003082293858733159,0.3283479972208385,-0.004617620396398663
map,0.635113,0.100019,0.45692738182560944,-0.714816215394097,0.0,-1.5021493521806737,0.0,0.0,-0.6824246947828743,0.7309559056129863,0.3483204308777655,0.0029399401217671045,0.348332837692331,-0.0049810739178560515
map,0.735132,0.100018,0.4573739021857197,-0.7486440158439407,0.0,-1.5054223910331883,0.0,0.0,-0.6836200039549112,0.7298381260202068,0.34260466963409536,0.0012804564144332168,0.3426070624253343,-0.023628064234012414
map,0.835143,0.100011,0.4590112449077046,-0.784156842632636,0.0,-1.507631208119266,0.0,0.0,-0.6844256263406183,0.7290826853027387,0.35132635282513947,-0.003182328566083525,0.35134076536109055,-0.008775699732529759
map,0.935143,0.100000,0.4621201626985642,-0.8178210759282456,0.0,-1.509897165272623,0.0,0.0,-0.6852512219488073,0.7283067779566976,0.337619404293576,0.005928468597636879,0.3376714511110797,-0.009962189127790632
map,1.035142,0.100000,0.4641544372147693,-0.850620581129972,0.0,-1.5116300640167502,0.0,0.0,-0.6858820055994246,0.7277127691575234,0.3181865395201195,0.0010455932633739147,0.31818825747827495,-0.010774858164470177
map,1.135142,0.099999,0.46868424403512754,-0.8812828378033037,0.0,-1.5141758854421727,0.0,0.0,-0.686807763061102,0.7268391132836793,0.31986671415862994,0.02005393611156901,0.32049473502727865,-0.01655481374193357
