t,cmd_speed,cmd_steer,drive_speed,drive_steer,motor_erpm,odom_omega,odom_vx,odom_x,odom_y,odom_yaw,safety_speed,safety_steer,servo_pos,teleop_speed,teleop_steer,vesc_current,vesc_duty,vesc_erpm,vesc_voltage
-24.815470,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,0.002734,0.445216,-0.573790,-1.394864,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-24.795470,0.000000,0.000000,0.000000,0.000000,0.000000,0.000744,0.003142,0.445305,-0.573860,-1.394935,0.000000,0.000000,0.560000,0.000000,0.000000,-0.010000,0.000000,0.000000,12.700000
-24.775470,0.000000,0.000000,0.000000,0.000000,0.000000,0.000744,0.003142,0.445305,-0.573860,-1.394935,0.000000,0.000000,0.560000,0.000000,0.000000,-0.020000,0.000000,0.000000,12.700000
-24.755470,0.000000,0.000000,0.000000,0.000000,0.000000,0.001278,0.002814,0.445426,-0.573884,-1.395017,0.000000,0.000000,0.560000,0.000000,0.000000,-0.020000,0.000000,0.000000,12.800000
-24.735470,0.000000,0.000000,0.000000,0.000000,0.000000,0.001278,0.002814,0.445426,-0.573884,-1.395017,0.000000,0.000000,0.560000,0.000000,0.000000,-0.020000,0.000000,0.000000,12.800000
-24.715470,0.000000,0.000000,0.000000,0.000000,0.000000,0.009565,-0.006824,0.444959,-0.573104,-1.394777,0.000000,0.000000,0.560000,0.000000,0.000000,-0.020000,0.000000,0.000000,12.700000
-24.695470,0.000000,0.000000,0.000000,0.000000,0.000000,0.005816,-0.004911,0.444840,-0.572952,-1.394955,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-24.675470,0.000000,0.000000,0.000000,0.000000,0.000000,0.005816,-0.004911,0.444840,-0.572952,-1.394955,0.000000,0.000000,0.560000,0.000000,0.000000,-0.040000,0.000000,0.000000,12.800000
-24.655470,0.000000,0.000000,0.000000,0.000000,0.000000,0.003329,-0.002519,0.444803,-0.572917,-1.395197,0.000000,0.000000,0.560000,0.000000,0.000000,-0.020000,0.000000,0.000000,12.700000
-24.635470,0.000000,0.000000,0.000000,0.000000,0.000000,0.003329,-0.002519,0.444803,-0.572917,-1.395197,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-24.615470,0.000000,0.000000,0.000000,0.000000,0.000000,0.013194,0.004258,0.445545,-0.573272,-1.394828,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-24.595470,0.000000,0.000000,0.000000,0.000000,0.000000,0.006891,0.004911,0.445673,-0.573386,-1.395134,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-24.575470,0.000000,0.000000,0.000000,0.000000,0.000000,0.006891,0.004911,0.445673,-0.573386,-1.395134,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.800000
-24.555470,0.000000,0.000000,0.000000,0.000000,0.000000,0.004185,0.004798,0.445746,-0.573439,-1.395531,0.000000,0.000000,0.560000,0.000000,0.000000,-0.020000,0.000000,0.000000,12.800000
-24.535470,0.000000,0.000000,0.000000,0.000000,0.000000,0.004185,0.004798,0.445746,-0.573439,-1.395531,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-24.515470,0.000000,0.000000,0.000000,0.000000,0.000000,0.002591,0.003123,0.445861,-0.573444,-1.395718,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-24.495470,0.000000,0.000000,0.000000,0.000000,0.000000,0.001075,0.003591,0.445919,-0.573517,-1.395989,0.000000,0.000000,0.560000,0.000000,0.000000,-0.040000,0.000000,0.000000,12.700000
-24.475470,0.000000,0.000000,0.000000,0.000000,0.000000,0.001075,0.003591,0.445919,-0.573517,-1.395989,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-24.455470,0.000000,0.000000,0.000000,0.000000,0.000000,0.001475,0.003712,0.445867,-0.573534,-1.396283,0.000000,0.000000,0.560000,0.000000,0.000000,-0.020000,0.000000,0.000000,12.800000
-24.435470,0.000000,0.000000,0.000000,0.000000,0.000000,0.001475,0.003712,0.445867,-0.573534,-1.396283,0.000000,0.000000,0.560000,0.000000,0.000000,-0.040000,0.000000,0.000000,12.700000
-24.415470,0.000000,0.000000,0.000000,0.000000,0.000000,-0.005562,-0.006124,0.445361,-0.572459,-1.396766,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-24.395470,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003006,-0.004378,0.445304,-0.572321,-1.396885,0.000000,0.000000,0.560000,0.000000,0.000000,-0.020000,0.000000,0.000000,12.700000
-24.375470,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003006,-0.004378,0.445304,-0.572321,-1.396885,0.000000,0.000000,0.560000,0.000000,0.000000,-0.020000,0.000000,0.000000,12.700000
-24.355470,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001851,-0.001606,0.445263,-0.572307,-1.397057,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-24.335470,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001851,-0.001606,0.445263,-0.572307,-1.397057,0.000000,0.000000,0.560000,0.000000,0.000000,-0.010000,0.000000,0.000000,12.800000
-24.315470,0.000000,0.000000,0.000000,0.000000,0.000000,-0.009336,0.007357,0.445101,-0.573111,-1.397555,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-24.295470,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004831,0.006719,0.445054,-0.573322,-1.397559,0.000000,0.000000,0.560000,0.000000,0.000000,-0.020000,0.000000,0.000000,12.700000
-24.275470,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004831,0.006719,0.445054,-0.573322,-1.397559,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-24.255471,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002826,0.004996,0.445007,-0.573393,-1.397649,0.000000,0.000000,0.560000,0.000000,0.000000,-0.020000,0.000000,0.000000,12.700000
-24.235471,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002826,0.004996,0.445007,-0.573393,-1.397649,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.800000
-24.215471,0.000000,0.000000,0.000000,0.000000,0.000000,0.003748,-0.006600,0.445030,-0.572357,-1.397473,0.000000,0.000000,0.560000,0.000000,0.000000,-0.040000,0.000000,0.000000,12.700000
-24.195471,0.000000,0.000000,0.000000,0.000000,0.000000,0.003223,-0.005160,0.445072,-0.572178,-1.397459,0.000000,0.000000,0.560000,0.000000,0.000000,-0.030000,0.000000,0.000000,12.700000
-24.175471,0.000000,0.000000,0.000000,0.000000,0.000000,0.003223,-0.005160,0.445072,-0.572178,-1.397459,0.000000,0.000000,0.560000,0.000000,0.000000,-0.020000,0.000000,0.000000,12.800000
-24.155471,0.000000,0.000000,0.000000,0.000000,0.000000,0.002390,-0.003835,0.445136,-0.572106,-1.397646,0.000000,0.000000,0.560000,0.000000,0.000000,-0.040000,0.000000,0.000000,12.800000
-24.135471,0.000000,0.000000,0.000000,0.000000,0.000000,0.002390,-0.003835,0.445136,-0.572106,-1.397646,0.000000,0.000000,0.560000,0.000000,0.000000,-0.020000,0.000000,0.000000,12.800000
-24.115471,0.000000,0.000000,0.000000,0.000000,0.000000,0.014425,0.003319,0.444735,-0.572723,-1.397192,0.000000,0.000000,0.560000,0.000000,0.000000,-0.020000,0.000000,0.000000,12.800000
-24.095471,0.000000,0.000000,0.000000,0.000000,0.000000,0.008625,0.003776,0.444709,-0.572834,-1.397353,0.000000,0.000000,0.560000,0.000000,0.000000,-0.020000,0.000000,0.000000,12.700000
