frame_id,total_time_elapsed,dt,x,y,z,yaw,qx,qy,qz,qw,vx,vy,speed,omega
map,0.000000,0.000000,0.4438808068096699,-0.5889491047978643,0.0,-1.6071158000129881,0.0,0.0,-0.7198303580995671,0.6941500238120352,0.07200846830607155,0.002768912754380902,0.07206168458777441,-0.009095418069274105
map,0.296266,0.296266,0.4441154440709344,-0.6268051870187826,0.0,-1.606914485999364,0.0,0.0,-0.7197604833894091,0.6942224762646655,0.2502937221933538,0.00894828289355319,0.25045362671789523,-0.002806420161743912
map,0.431310,0.135045,0.44267389689143344,-0.663802478417827,0.0,-1.609119597349554,0.0,0.0,-0.7205254646844956,0.6934284784613275,0.2949190332979412,0.0027917636708689754,0.2949322467038593,0.000543205188594348
map,0.531342,0.100032,0.44114589030242024,-0.7007360080651283,0.0,-1.6120363835785392,0.0,0.0,-0.7215359893979453,0.6923769320272941,0.36096502408397657,-0.0004230282646471512,0.3609652719651275,-0.025761918186909566
map,0.631358,0.100016,0.43927861304035404,-0.7386643622100493,0.0,-1.6177042135282407,0.0,0.0,-0.7234952267749608,0.6903293828556394,0.37022393532774606,-0.003999774798198,0.37024554080771777,-0.035010618738338356
map,0.734753,0.103395,0.43639982655457144,-0.7769340186358383,0.0,-1.6319081042307126,0.0,0.0,-0.7283796214984043,0.6851737932713431,0.35750324854638094,-0.011403592055581845,0.3576850774535968,-0.12218647514868286
map,0.831390,0.096637,0.43315640594939875,-0.8144535970444684,0.0,-1.6505795807880943,0.0,0.0,-0.7347443906911777,0.678344072243467,0.36446707311962423,-0.016698995687690798,0.3648494262642646,-0.16352009772134235
map,0.931406,0.100016,0.4312952282179165,-0.8521663339089843,0.0,-1.6784974751792552,0.0,0.0,-0.7441414701501573,0.6680220598174603,0.3725321706763003,0.014569322148957429,0.372816956879212,-0.19988913925702204
map,1.031423,0.100017,0.42821879079900405,-0.8871008042991733,0.0,-1.7114702908412287,0.0,0.0,-0.7550531282238033,0.6556636131122794,0.35933882653944377,0.01068367906741518,0.35949761231079125,-0.2686608783394377
map,1.131439,0.100016,0.4229793310540464,-0.9197894611588159,0.0,-1.751557000267333,0.0,0.0,-0.7680422857357421,0.6403991312625407,0.3452556340367634,0.007368046092087764,0.3453342452426962,-0.34007318064142283
map,1.231455,0.100016,0.4163784133835903,-0.9528074521812042,0.0,-1.7961460906245321,0.0,0.0,-0.7821276418200419,0.6231182487305441,0.35162893832661435,0.0067588011551590966,0.3516938891447461,-0.3978831473079771
map,1.331472,0.100016,0.4049967003186812,-0.9850007756258832,0.0,-1.842954134454474,0.0,0.0,-0.7964955889171157,0.6046443391247264,0.3487893606491892,-0.019974813927251485,0.3493608611357295,-0.41887413073154117
map,1.431489,0.100018,0.39191730425190696,-1.0203816180272351,0.0,-1.8854588302125295,0.0,0.0,-0.8091648667177244,0.5875816696168179,0.3858818166421294,-0.023110076167185477,0.38657321691431634,-0.44321733431449545
