frame_id, timestamp, x, y, z, yaw angle, qx, qy, qz, qw, vx, vy, speed, omega
map, 0.0, 126.2547836303711, -195.37940979003906, -0.004895133897662163, 3.130395126470446, 0.0012132783568166415, -0.0002648570581361698, 0.9999835541240923, 0.005599043464404973,4.49633914108026, -0.05543373984283889, 4.496811911660271, -0.03500644941957536
map, 0.0, 119.060546875, -195.21981811523438, 0.0017590331844985485, 3.122302578866022, 0.00012383738277220785, 1.5758979379665305e-05, 0.9999534792162886, 0.009644885649755713,8.61162161170203, 0.0014823930075510833, 8.611622000499265, 0.003419407813647921
map, 0.0, 115.10792541503906, -195.1442108154297, 0.0019530105637386441, 3.122498587522252, -0.00044016529230658005, 3.669743695700056e-06, 0.9999543305534462, 0.009546886846366637,-0.0002144678315348608, -4.2608340128449273e-08, 0.00027160209729285435, -1.4126150315623587e-07
map, 0.0, 115.1076431274414, -195.14419555664062, 0.0017407989362254739, 3.122498587522252, -9.6977415421169e-05, 3.932183236798892e-07, 0.9999544227245941, 0.009546887909164012,0.0, -0.0, 0.0, -0.0
map, 0.0, 115.1076431274414, -195.14419555664062, 0.0017407989362254739, 3.122498587522252, -9.6977415421169e-05, 3.932183236798892e-07, 0.9999544227245941, 0.009546887909164012,0.0, -0.0, 0.0, -0.0
map, 0.0, 115.1076431274414, -195.14419555664062, 0.0017407989362254739, 3.122498587522252, -9.6977415421169e-05, 3.932183236798892e-07, 0.9999544227245941, 0.009546887909164012,0.0, -0.0, 0.0, -0.0
map, 0.0, 115.1076431274414, -195.14419555664062, 0.0017407989362254739, 3.122498587522252, -9.6977415421169e-05, 3.932183236798892e-07, 0.9999544227245941, 0.009546887909164012,0.0, -0.0, 0.0, -0.0
map, 0.0, 115.1076431274414, -195.14419555664062, 0.0017407989362254739, 3.122498587522252, -9.6977415421169e-05, 3.932183236798892e-07, 0.9999544227245941, 0.009546887909164012,0.0, -0.0, 0.0, -0.0
map, 0.0, 115.1076431274414, -195.14419555664062, 0.0017407989362254739, 3.122498587522252, -9.6977415421169e-05, 3.932183236798892e-07, 0.9999544227245941, 0.009546887909164012,0.0, -0.0, 0.0, -0.0
map, 0.0, 115.1076431274414, -195.14419555664062, 0.0017407989362254739, 3.122498587522252, -9.6977415421169e-05, 3.932183236798892e-07, 0.9999544227245941, 0.009546887909164012,0.0, -0.0, 0.0, -0.0
map, 0.0, 115.1076431274414, -195.14419555664062, 0.0017407989362254739, 3.122498587522252, -9.6977415421169e-05, 3.932183236798892e-07, 0.9999544227245941, 0.009546887909164012,0.0, -0.0, 0.0, -0.0
map, 0.0, 115.1076431274414, -195.14419555664062, 0.0017407989362254739, 3.122498587522252, -9.6977415421169e-05, 3.932183236798892e-07, 0.9999544227245941, 0.009546887909164012,0.0, -0.0, 0.0, -0.0
map, 0.0, 115.1076431274414, -195.14419555664062, 0.0017407989362254739, 3.122498587522252, -9.6977415421169e-05, 3.932183236798892e-07, 0.9999544227245941, 0.009546887909164012,0.0, -0.0, 0.0, -0.0
map, 0.0, 115.0401840209961, -195.14356994628906, 0.0013850020477548242, 3.122902589059617, 0.0002541203983492217, 7.9538929972367e-06, 0.9999563032094592, 0.009344893323659217,0.8103699430329496, 0.009209454069006124, 0.8104223422047895, 0.006373430827547747
map, 0.0, 110.84139251708984, -195.1266632080078, 0.0014299011090770364, 3.1394906205413937, 0.0006745711983021531, 2.3917218324953637e-05, 0.999999219890575, 0.001050999479784982,7.228308692945892, 0.016535302159467347, 7.228334556429762, 0.014786789994933849
map, 0.0, 102.3165054321289, -195.0912322998047, 0.0018813323695212603, 3.114687802361159, -6.158266296310695e-05, -0.00048337789503904993, 0.9999093991332205, 0.013451991615686693,8.438160938811889, -0.22585195363128394, 8.441183033098122, -0.21216635416896532
map, 0.0, 94.90982818603516, -192.125, 0.0019108580891042948, 2.3384756805117206, -0.0014162255510936786, -0.003080363251638074, 0.9204478143435412, 0.3908507729781587,8.244840391431591, -1.2268759903566335, 8.335755649421015, -1.206600126136909
map, 0.0, 92.55445861816406, -184.22024536132812, 0.001866416889242828, 1.6588035476518188, -0.0006388577894429273, -0.0006496069579190467, 0.7375272246000475, 0.6753167870305579,8.333665276947968, -0.2352266847059919, 8.336998218458033, -0.24556935174690678
map, 0.0, 92.38836669921875, -175.89266967773438, 0.0018439101986587048, 1.5724004818775066, -4.2836202772676025e-05, -4.341114216221964e-05, 0.7076737068118175, 0.7065393980294057,8.320309407926434, -0.011535026411515721, 8.320317465690993, -0.012433470012631216
map, 0.0, 92.39269256591797, -167.56292724609375, 0.0018437575781717896, 1.5702742140631867, 1.3958629141398021e-06, 4.6814565490826965e-07, 0.7069221623671073, 0.707291351814827,8.321346940546954, 0.0009128025606161633, 8.321346990644466, 0.0008880222229598651
map, 0.0, 92.39390563964844, -159.306640625, 0.0020213318057358265, 1.5707754209803397, -0.00018660187500007999, 0.00018622912587473728, 0.7070993653036945, 0.7071141478471242,7.533761979741214, 2.5561773712484877e-06, 7.5337619797426925, -5.238513570196464e-06
map, 0.0, 92.39390563964844, -157.0557098388672, 0.0018708801362663507, 1.5707726246611948, -0.0002170931364089452, 0.00021634502157286128, 0.7070983680720869, 0.7071151277799067,0.0, -0.0, 0.0, -0.0
map, 0.0, 92.39390563964844, -157.0557098388672, 0.0018708801362663507, 1.5707726246611948, -0.0002170931364089452, 0.00021634502157286128, 0.7070983680720869, 0.7071151277799067,0.0, -0.0, 0.0, -0.0
